client_id,joined,income,credit_score
46109,2002-04-16,172677,527
49545,2007-11-14,104564,770
41480,2013-03-11,122607,585
46180,2001-11-06,43851,562
25707,2006-10-06,211422,621
39505,2011-10-14,153873,610
32726,2006-05-01,235705,730
35089,2010-03-01,131176,771
35214,2003-08-08,95849,696
48177,2008-06-09,190632,769
26326,2004-05-06,227920,633
42320,2000-04-27,229481,563
32961,2009-04-07,230341,714
29841,2002-08-17,38354,523
44601,2004-10-20,156341,518
32885,2002-05-13,58955,642
49068,2004-02-12,128813,603
44387,2009-07-14,151903,781
39384,2000-06-18,191204,617
26695,2004-08-27,174532,680
38537,2002-10-21,127183,643
46958,2011-07-22,225709,644
41472,2001-11-06,152214,638
49624,2012-08-04,49036,800
26945,2000-11-26,214516,806
